genre,rating
Military,8.4
Sci-Fi,8.4
Space,8.4
Drama,8.4
Fantasy,8.4
Shoujo,8.4
Slice of Life,8.4
Supernatural,8.4
Comedy,8.4
Drama,8.4
Psychological,8.4
Romance,8.4
Adventure,8.4
Drama,8.4
Historical,8.4
Romance,8.4
Shoujo,8.4
Comedy,8.4
Drama,8.4
Romance,8.4
School,8.4
Slice of Life,8.4
Action,8.39
Comedy,8.39
Drama,8.39
School,8.39
Supernatural,8.39
Mystery,8.39
Romance,8.39
Supernatural,8.39
Vampire,8.39
Mystery,8.39
Seinen,8.39
Supernatural,8.39
Comedy,8.39
Shounen,8.39
Sports,8.39
Action,8.39
Adventure,8.39
Comedy,8.39
Drama,8.39
Fantasy,8.39
Shounen,8.39
Comedy,8.39
Harem,8.39
Romance,8.39
School,8.39
Shoujo,8.39
Action,8.38
Mystery,8.38
Police,8.38
Shounen,8.38
Action,8.38
Mystery,8.38
Supernatural,8.38
Comedy,8.38
Josei,8.38
Music,8.38
Romance,8.38
Drama,8.38
Romance,8.38
Sci-Fi,8.38
Seinen,8.38
Space,8.38
Music,8.38
Sci-Fi,8.38
Adventure,8.38
Fantasy,8.38
Romance,8.38
Sci-Fi,8.38
Action,8.37
Comedy,8.37
Historical,8.37
Parody,8.37
Sci-Fi,8.37
Drama,8.37
Josei,8.37
Romance,8.37
Action,8.37
Adventure,8.37
Comedy,8.37
Demons,8.37
Fantasy,8.37
Magic,8.37
Romance,8.37
Shounen,8.37
Supernatural,8.37
Fantasy,8.37
Historical,8.37
Action,8.37
Comedy,8.37
Shounen,8.37
Super Power,8.37
Comedy,8.37
Demons,8.37
Fantasy,8.37
Historical,8.37
Shounen,8.37
Supernatural,8.37
Adventure,8.37
Fantasy,8.37
Historical,8.37
Romance,8.37
Action,8.36
Comedy,8.36
School,8.36
Shounen,8.36
Super Power,8.36
Comedy,8.36
School,8.36
Shounen,8.36
Slice of Life,8.36
Comedy,8.36
Drama,8.36
Romance,8.36
School,8.36
Slice of Life,8.36
Supernatural,8.36
Comedy,8.36
Drama,8.36
Sports,8.36
Action,8.36
Adventure,8.36
Martial Arts,8.36
Shounen,8.36
Super Power,8.36
Supernatural,8.36
Comedy,8.36
School,8.36
Shounen,8.36
Comedy,8.35
Romance,8.35
Shounen,8.35
Comedy,8.35
School,8.35
Shounen,8.35
Slice of Life,8.35
Drama,8.35
Psychological,8.35
Romance,8.35
Slice of Life,8.35
Fantasy,8.35
Slice of Life,8.35
Supernatural,8.35
Comedy,8.35
Drama,8.35
Shounen,8.35
Sports,8.35
Drama,8.35
Mystery,8.35
Psychological,8.35
Comedy,8.34
Romance,8.34
Slice of Life,8.34
Action,8.34
Mecha,8.34
Police,8.34
Psychological,8.34
Sci-Fi,8.34
Seinen,8.34
Comedy,8.34
Music,8.34
Slice of Life,8.34
Action,8.34
School,8.34
Shounen,8.34
Sports,8.34
Action,8.34
Comedy,8.34
Drama,8.34
Magic,8.34
Super Power,8.34
Action,8.34
Adventure,8.34
Drama,8.34
Fantasy,8.34
Historical,8.34
Romance,8.34
Sci-Fi,8.34
Thriller,8.34
Comedy,8.34
Drama,8.34
Mystery,8.34
Psychological,8.34
Supernatural,8.34
Action,8.33
Adventure,8.33
Demons,8.33
Drama,8.33
Fantasy,8.33
Horror,8.33
Military,8.33
Seinen,8.33
Supernatural,8.33
Drama,8.33
Game,8.33
Mystery,8.33
Psychological,8.33
Thriller,8.33
Action,8.33
Adventure,8.33
Comedy,8.33
Drama,8.33
Fantasy,8.33
Magic,8.33
Military,8.33
Shounen,8.33
Game,8.33
Psychological,8.33
Seinen,8.33
Thriller,8.33
Action,8.33
Adventure,8.33
Shounen,8.33
Super Power,8.33
Action,8.33
Cars,8.33
Sci-Fi,8.33
Sports,8.33
Drama,8.32
Game,8.32
Josei,8.32
Slice of Life,8.32
Sports,8.32
Action,8.32
Mystery,8.32
Police,8.32
Shounen,8.32
Action,8.32
Adventure,8.32
Comedy,8.32
Fantasy,8.32
Martial Arts,8.32
Shounen,8.32
